#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         302           1    0.837351   0.0132044
         303           1    0.837888   0.0131717
         304           1    0.838421   0.0131391
         305           1    0.838951   0.0131067
         306           1    0.839477   0.0130745
         307           1        0.84   0.0130423
         308           1    0.840519   0.0130103
         309           1    0.841036   0.0129785
         310           1    0.841548   0.0129467
         311           1    0.842058   0.0129151
         312           1    0.842564   0.0128836
         313           1    0.843067   0.0128523
         314           1    0.843567   0.0128211
         315           1    0.844063     0.01279
         316           1    0.844557    0.012759
         317           1    0.845047   0.0127282
         318           1    0.845535   0.0126975
         319           1    0.846019   0.0126669
         320           1      0.8465   0.0126365
         321           1    0.846978   0.0126062
         322           1    0.847453    0.012576
         323           1    0.847926   0.0125459
         324           1    0.848395   0.0125159
         325           1    0.848862   0.0124861
         326           1    0.849325   0.0124564
         327           1    0.849786   0.0124269
         328           1    0.850244   0.0123974
         329           1    0.850699   0.0123681
         330           1    0.851152   0.0123389
         331           1    0.851601   0.0123098
         332           1    0.852048   0.0122808
         333           1    0.852492    0.012252
         334           1    0.852934   0.0122232
         335           1    0.853373   0.0121946
         336           1     0.85381   0.0121661
         337           1    0.854243   0.0121378
         338           1    0.854675   0.0121095
         339           1    0.855103   0.0120814
         340           1    0.855529   0.0120534
         341           1    0.855953   0.0120255
         342           1    0.856374   0.0119977
         343           1    0.856793     0.01197
         344           1    0.857209   0.0119424
         345           1    0.857623    0.011915
         346           1    0.858035   0.0118877
         347           1    0.858444   0.0118604
         348           1    0.858851   0.0118333
         349           1    0.859255   0.0118063
         350           1    0.859657   0.0117795
         351           1    0.860057   0.0117527
         352           1    0.860455    0.011726
         353           1     0.86085   0.0116995
         354           1    0.861243    0.011673
         355           1    0.861634   0.0116467
         356        0.96     0.86191   0.0116172
         357        0.96    0.862185   0.0115879
         358        0.96    0.862458   0.0115588
         359           1    0.862841   0.0115329
         360           1    0.863222   0.0115072
         361           1    0.863601   0.0114816
         362           1    0.863978    0.011456
         363           1    0.864353   0.0114306
         364           1    0.864725   0.0114053
         365           1    0.865096     0.01138
         366           1    0.865464   0.0113549
         367           1    0.865831   0.0113299
         368           1    0.866196    0.011305
         369           1    0.866558   0.0112801
         370           1    0.866919   0.0112554
         371           1    0.867278   0.0112308
         372           1    0.867634   0.0112063
         373           1    0.867989   0.0111818
         374           1    0.868342   0.0111575
         375           1    0.868693   0.0111333
         376           1    0.869043   0.0111091
         377           1     0.86939   0.0110851
         378           1    0.869735   0.0110612
         379           1    0.870079   0.0110373
         380           1    0.870421   0.0110136
         381           1    0.870761   0.0109899
         382           1    0.871099   0.0109663
         383           1    0.871436   0.0109429
         384           1    0.871771   0.0109195
         385           1    0.872104   0.0108962
         386           1    0.872435    0.010873
         387           1    0.872765   0.0108499
         388           1    0.873093   0.0108269
         389           1    0.873419    0.010804
         390           1    0.873744   0.0107812
         391           1    0.874066   0.0107584
         392           1    0.874388   0.0107358
         393           1    0.874707   0.0107132
         394           1    0.875025   0.0106907
         395           1    0.875342   0.0106684
         396           1    0.875657   0.0106461
         397           1     0.87597   0.0106239
         398           1    0.876281   0.0106017
         399           1    0.876591   0.0105797
         400           1      0.8769   0.0105577
         401           1    0.877207   0.0105359
         402           1    0.877512   0.0105141
         403           1    0.877816   0.0104924
         404           1    0.878119   0.0104708
         405           1     0.87842   0.0104493
         406           1    0.878719   0.0104278
         407           1    0.879017   0.0104064
         408           1    0.879314   0.0103852
         409           1    0.879609    0.010364
         410           1    0.879902   0.0103428
         411           1    0.880195   0.0103218
         412           1    0.880485   0.0103008
         413           1    0.880775     0.01028
         414           1    0.881063   0.0102592
         415           1    0.881349   0.0102385
         416           1    0.881635   0.0102178
         417        0.96    0.881823    0.010195
         418        0.92    0.881914   0.0101711
         419        0.96      0.8821   0.0101485
         420        0.96    0.882286    0.010126
         421           1    0.882565   0.0101058
         422           1    0.882844   0.0100857
         423           1    0.883121   0.0100657
         424           1    0.883396   0.0100457
         425           1    0.883671   0.0100258
         426           1    0.883944    0.010006
         427           1    0.884215  0.00998625
         428           1    0.884486  0.00996659
         429           1    0.884755  0.00994699
         430           1    0.885023  0.00992747
         431           1     0.88529  0.00990802
         432           1    0.885556  0.00988864
         433           1     0.88582  0.00986933
         434           1    0.886083   0.0098501
         435           1    0.886345  0.00983094
         436           1    0.886606  0.00981184
         437           1    0.886865  0.00979282
         438           1    0.887123  0.00977387
         439           1     0.88738  0.00975499
         440           1    0.887636  0.00973617
         441           1    0.887891  0.00971743
         442           1    0.888145  0.00969875
         443           1    0.888397  0.00968015
         444           1    0.888649  0.00966161
         445           1    0.888899  0.00964314
         446           1    0.889148  0.00962473
         447           1    0.889396  0.00960639
         448           1    0.889643  0.00958812
         449        0.96      0.8898  0.00956805
         450        0.96    0.889956  0.00954806
         451        0.96    0.890111  0.00952815
         452        0.88    0.890088   0.0095071
         453        0.88    0.890066  0.00948614
         454        0.92    0.890132  0.00946547
         455         0.8    0.889934  0.00944674
         456        0.84    0.889825  0.00942666
         457        0.84    0.889716  0.00940666
         458        0.92    0.889782  0.00938636
         459        0.88     0.88976  0.00936593
         460        0.84    0.889652  0.00934619
         461        0.96    0.889805  0.00932717
         462           1    0.890043  0.00931003
         463           1    0.890281  0.00929295
         464           1    0.890517  0.00927593
         465           1    0.890753  0.00925897
         466           1    0.890987  0.00924206
         467           1    0.891221  0.00922522
         468           1    0.891453  0.00920844
         469           1    0.891684  0.00919171
         470           1    0.891915  0.00917504
         471           1    0.892144  0.00915843
         472           1    0.892373  0.00914188
         473           1      0.8926  0.00912538
         474           1    0.892827  0.00910894
         475           1    0.893053  0.00909256
         476           1    0.893277  0.00907624
         477           1    0.893501  0.00905996
         478           1    0.893724  0.00904375
         479           1    0.893946  0.00902759
         480           1    0.894167  0.00901149
         481           1    0.894387  0.00899544
         482           1    0.894606  0.00897944
         483           1    0.894824   0.0089635
         484           1    0.895041  0.00894762
         485           1    0.895258  0.00893178
         486           1    0.895473  0.00891601
         487           1    0.895688  0.00890028
         488           1    0.895902  0.00888461
         489           1    0.896115  0.00886899
         490           1    0.896327  0.00885342
         491           1    0.896538  0.00883791
         492           1    0.896748  0.00882245
         493           1    0.896957  0.00880704
         494           1    0.897166  0.00879168
         495           1    0.897374  0.00877637
         496           1    0.897581  0.00876112
         497           1    0.897787  0.00874591
         498           1    0.897992  0.00873076
         499           1    0.898196  0.00871566
         500           1      0.8984   0.0087006
         501           1    0.898603   0.0086856
         502           1    0.898805  0.00867065
         503           1    0.899006  0.00865574
         504           1    0.899206  0.00864089
         505           1    0.899406  0.00862608
         506           1    0.899605  0.00861132
         507           1    0.899803  0.00859661
         508        0.96    0.899921  0.00858051
         509           1    0.900118   0.0085659
         510           1    0.900314  0.00855135
         511           1    0.900509  0.00853684
         512           1    0.900703  0.00852237
         513           1    0.900897  0.00850796
         514           1    0.901089  0.00849359
         515           1    0.901282  0.00847927
         516           1    0.901473    0.008465
         517           1    0.901663  0.00845077
         518        0.96    0.901776   0.0084352
         519           1    0.901965  0.00842107
         520           1    0.902154  0.00840699
         521           1    0.902342  0.00839295
         522           1    0.902529  0.00837896
         523           1    0.902715  0.00836501
         524           1    0.902901   0.0083511
         525           1    0.903086  0.00833725
         526           1     0.90327  0.00832343
         527           1    0.903454  0.00830966
         528           1    0.903636  0.00829593
         529           1    0.903819  0.00828225
         530           1       0.904  0.00826861
         531           1    0.904181  0.00825502
         532           1    0.904361  0.00824146
         533           1     0.90454  0.00822796
         534        0.96    0.904644   0.0082132
         535           1    0.904822  0.00819978
         536           1       0.905  0.00818641
         537           1    0.905177  0.00817308
         538           1    0.905353  0.00815978
         539           1    0.905529  0.00814653
         540           1    0.905704  0.00813333
         541           1    0.905878  0.00812016
         542           1    0.906052  0.00810704
         543           1    0.906225  0.00809395
         544           1    0.906397  0.00808091
         545           1    0.906569  0.00806791
         546           1     0.90674  0.00805494
         547           1     0.90691  0.00804202
         548           1     0.90708  0.00802914
         549           1     0.90725   0.0080163
         550           1    0.907418   0.0080035
         551           1    0.907586  0.00799074
         552           1    0.907754  0.00797801
         553           1     0.90792  0.00796533
         554           1    0.908087  0.00795269
         555           1    0.908252  0.00794008
         556           1    0.908417  0.00792752
         557           1    0.908582  0.00791499
         558           1    0.908746   0.0079025
         559           1    0.908909  0.00789005
         560           1    0.909071  0.00787764
         561           1    0.909234  0.00786526
         562           1    0.909395  0.00785292
         563           1    0.909556  0.00784062
         564           1    0.909716  0.00782836
         565        0.88    0.909664  0.00781468
         566         0.8     0.90947  0.00780328
         567        0.68    0.909065      0.0078
         568        0.68    0.908662  0.00779669
         569         0.6     0.90812  0.00780183
         570        0.64    0.907649  0.00780231
         571        0.52     0.90697  0.00781813
         572        0.44    0.906154  0.00784697
         573        0.44     0.90534  0.00787533
         574        0.44     0.90453  0.00790323
         575        0.56     0.90393  0.00791217
         576        0.64    0.903472  0.00791169
         577        0.48    0.902738  0.00793194
         578        0.48    0.902007  0.00795187
         579        0.52    0.901347  0.00796546
         580        0.48    0.900621  0.00798478
         581         0.6    0.900103  0.00798779
         582        0.68    0.899725  0.00798301
         583        0.64     0.89928  0.00798174
         584        0.68    0.898904   0.0079769
         585         0.6    0.898393  0.00797961
         586        0.52    0.897747  0.00799208
         587        0.48    0.897036  0.00801008
         588        0.56    0.896463  0.00801694
         589        0.56    0.895891  0.00802366
         590         0.6     0.89539  0.00802572
         591        0.52    0.894755  0.00803723
         592        0.56    0.894189  0.00804352
         593         0.6    0.893693  0.00804524
         594        0.64    0.893266  0.00804303
         595        0.64     0.89284  0.00804077
         596        0.64    0.892416  0.00803846
         597         0.6    0.891926   0.0080399
         598        0.64    0.891505  0.00803749
         599         0.6    0.891018  0.00803879
         600        0.52      0.8904  0.00804914
         601        0.44    0.889651  0.00807056
         602        0.52    0.889037  0.00808048
         603        0.56    0.888491  0.00808548
         604        0.48    0.887815  0.00810033
         605         0.4    0.887008  0.00812697
         606        0.44    0.886271  0.00814697
         607         0.4     0.88547  0.00817284
         608        0.36    0.884605  0.00820496
         609         0.4     0.88381  0.00822999
         610        0.36    0.882951  0.00826117
         611        0.32    0.882029  0.00829887
         612        0.24     0.88098  0.00835135
         613         0.2    0.879869  0.00841129
         614        0.16    0.878697  0.00847891
         615        0.24    0.877659  0.00852849
         616        0.32    0.876753  0.00856255
         617        0.28    0.875786  0.00860313
         618        0.32    0.874887  0.00863609
         619        0.32     0.87399  0.00866853
         620        0.36    0.873161   0.0086941
         621        0.32    0.872271  0.00872561
         622        0.28    0.871318  0.00876339
         623        0.24    0.870305  0.00880772
         624         0.4    0.869551  0.00882579
         625        0.48    0.868928  0.00883365
         626        0.48    0.868307  0.00884136
         627        0.48    0.867687  0.00884892
         628        0.68    0.867389  0.00883988
         629        0.68    0.867091  0.00883084
         630        0.64     0.86673  0.00882418
         631         0.6    0.866307  0.00882031
         632        0.68    0.866013  0.00881128
         633        0.76    0.865845  0.00879895
         634         0.8    0.865741  0.00878569
         635         0.8    0.865638  0.00877246
         636        0.88     0.86566   0.0087587
         637        0.88    0.865683  0.00874498
         638        0.88    0.865705   0.0087313
         639        0.96    0.865853  0.00871888
         640        0.84    0.865812  0.00870535
         641        0.92    0.865897  0.00869218
         642        0.96    0.866044  0.00867988
         643        0.92    0.866128  0.00866678
         644           1    0.866335  0.00865582
         645           1    0.866543  0.00864488
         646           1    0.866749  0.00863397
         647           1    0.866955  0.00862308
         648           1     0.86716  0.00861221
         649           1    0.867365  0.00860138
         650           1    0.867569  0.00859056
         651           1    0.867773  0.00857978
         652           1    0.867975  0.00856901
         653           1    0.868178  0.00855828
         654           1    0.868379  0.00854756
         655           1     0.86858  0.00853687
         656           1     0.86878  0.00852621
         657           1     0.86898  0.00851557
         658           1    0.869179  0.00850496
         659           1    0.869378  0.00849437
         660           1    0.869576   0.0084838
         661           1    0.869773  0.00847326
         662           1     0.86997  0.00846275
         663           1    0.870166  0.00845226
         664           1    0.870361  0.00844179
         665           1    0.870556  0.00843134
         666           1    0.870751  0.00842092
         667           1    0.870945  0.00841053
         668           1    0.871138  0.00840016
         669           1     0.87133  0.00838981
         670           1    0.871522  0.00837948
         671           1    0.871714  0.00836918
         672           1    0.871905  0.00835891
         673           1    0.872095  0.00834865
         674           1    0.872285  0.00833842
         675           1    0.872474  0.00832821
         676           1    0.872663  0.00831803
         677           1    0.872851  0.00830787
         678           1    0.873038  0.00829773
         679           1    0.873225  0.00828762
         680           1    0.873412  0.00827753
         681           1    0.873598  0.00826746
         682           1    0.873783  0.00825742
         683           1    0.873968  0.00824739
         684           1    0.874152  0.00823739
         685        0.92    0.874219  0.00822564
         686        0.96    0.874344   0.0082146
         687           1    0.874527  0.00820468
         688           1    0.874709  0.00819478
         689           1    0.874891   0.0081849
         690           1    0.875072  0.00817505
         691           1    0.875253  0.00816522
         692           1    0.875434  0.00815541
         693           1    0.875613  0.00814562
         694           1    0.875793  0.00813585
         695           1    0.875971  0.00812611
         696           1    0.876149  0.00811639
         697           1    0.876327  0.00810669
         698           1    0.876504  0.00809701
         699           1    0.876681  0.00808735
         700           1    0.876857  0.00807772
         701           1    0.877033  0.00806811
         702           1    0.877208  0.00805852
         703           1    0.877383  0.00804894
         704           1    0.877557   0.0080394
         705           1     0.87773  0.00802987
         706           1    0.877904  0.00802036
         707           1    0.878076  0.00801088
         708           1    0.878249  0.00800141
         709           1     0.87842  0.00799197
         710           1    0.878592  0.00798255
         711           1    0.878762  0.00797315
         712           1    0.878933  0.00796377
         713           1    0.879102  0.00795441
         714           1    0.879272  0.00794507
         715           1    0.879441  0.00793575
         716           1    0.879609  0.00792645
         717           1    0.879777  0.00791718
         718           1    0.879944  0.00790792
         719           1    0.880111  0.00789868
         720           1    0.880278  0.00788947
         721           1    0.880444  0.00788027
         722           1    0.880609   0.0078711
         723        0.84    0.880553  0.00786041
         724        0.84    0.880497  0.00784976
         725        0.84    0.880441  0.00783913
         726        0.76    0.880275  0.00783008
         727        0.72    0.880055  0.00782242
         728        0.64    0.879725  0.00781862
         729        0.68    0.879451  0.00781269
         730         0.8    0.879342  0.00780275
         731        0.76    0.879179  0.00779378
         732        0.76    0.879016  0.00778483
         733         0.8    0.878909  0.00777496
         734        0.72    0.878692  0.00776738
         735        0.76    0.878531  0.00775849
         736         0.8    0.878424  0.00774868
         737        0.96    0.878535  0.00773896
