#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         588       -0.04   -0.104286   0.0105423
         589        0.16   -0.103837   0.0105339
         590        0.24   -0.103254   0.0105322
         591        0.44   -0.102335   0.0105544
         592        0.32   -0.101622   0.0105607
         593        0.24   -0.101046   0.0105586
         594        0.36   -0.100269   0.0105693
         595        0.48  -0.0992941   0.0105964
         596         0.4  -0.0984564   0.0106117
         597        0.28  -0.0978224   0.0106128
         598        0.08  -0.0975251   0.0105993
         599        0.08  -0.0972287   0.0105857
         600       -0.12  -0.0972667   0.0105681
         601       -0.16   -0.097371   0.0105511
         602        0.12    -0.09701   0.0105397
         603        0.16  -0.0965837   0.0105308
         604           0  -0.0964238   0.0105146
         605       -0.04  -0.0963306   0.0104977
         606       -0.04  -0.0962376   0.0104807
         607        0.16  -0.0958155    0.010472
         608        0.12  -0.0954605   0.0104608
         609           0  -0.0953038   0.0104448
         610        0.12  -0.0949508   0.0104336
         611           0  -0.0947954   0.0104177
         612       -0.04  -0.0947059    0.010401
         613        0.04  -0.0944861   0.0103864
         614        0.04  -0.0942671   0.0103718
         615        0.24  -0.0937236   0.0103692
         616        0.12  -0.0933766   0.0103581
         617       -0.04  -0.0932901   0.0103417
         618       -0.24  -0.0935275   0.0103277
         619       -0.16  -0.0936349   0.0103116
         620        -0.2  -0.0938065   0.0102964
         621       -0.12  -0.0938486   0.0102799
         622       -0.12  -0.0938907   0.0102634
         623       -0.12  -0.0939326    0.010247
         624           0  -0.0937821   0.0102317
         625       -0.08    -0.09376   0.0102154
         626        0.04  -0.0935463   0.0102013
         627        0.12  -0.0932057   0.0101907
         628        0.32  -0.0925478   0.0101957
         629        0.12  -0.0922099   0.0101851
         630       -0.08  -0.0921905   0.0101689
         631       -0.12  -0.0922345   0.0101529
         632       -0.04  -0.0921519   0.0101372
         633        0.04  -0.0919431   0.0101233
         634       -0.04  -0.0918612   0.0101077
         635           0  -0.0917165   0.0100928
         636        0.12  -0.0913836   0.0100824
         637       -0.04   -0.091303   0.0100669
         638       -0.04  -0.0912226   0.0100515
         639        0.08  -0.0909546   0.0100393
         640       -0.04   -0.090875   0.0100239
         641       -0.04  -0.0907956   0.0100086
         642       -0.12  -0.0908411  0.00999312
         643           0  -0.0906998  0.00997858
         644        0.08  -0.0904348  0.00996661
         645        0.32  -0.0897984  0.00997145
         646        0.44  -0.0889783  0.00998968
         647        0.56  -0.0879753   0.0100245
         648        0.28  -0.0874074   0.0100251
