#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         267     -0.5304   -0.584407  0.00746394
         268     -0.5264   -0.584191  0.00743923
         269     -0.5288   -0.583985  0.00741442
         270     -0.6944   -0.584394  0.00739823
         271     -0.6072   -0.584478  0.00737141
         272     -0.6896   -0.584865  0.00735443
         273      -0.776   -0.585565  0.00736074
         274     -0.8552   -0.586549  0.00739937
         275     -0.5336   -0.586356  0.00737496
         276     -0.2856   -0.585267  0.00742831
         277     -0.4416   -0.584748  0.00741958
         278     -0.2768    -0.58364  0.00747512
         279     -0.5184   -0.583406  0.00745199
         280     -0.5176   -0.583171  0.00742908
         281     -0.5192   -0.582944  0.00740613
         282     -0.4424   -0.582445  0.00739662
         283     -0.6048   -0.582524   0.0073709
         284      -0.604     -0.5826  0.00734533
         285     -0.5256     -0.5824  0.00732228
         286     -0.4392   -0.581899  0.00731378
         287      -0.436   -0.581391  0.00730594
         288      -0.516   -0.581164   0.0072841
         289     -0.5976   -0.581221  0.00725912
         290     -0.5952   -0.581269  0.00723425
         291     -0.5144   -0.581039  0.00721304
         292     -0.4368   -0.580545  0.00720523
         293     -0.6024    -0.58062  0.00718102
         294     -0.6016   -0.580691  0.00715695
         295     -0.3568   -0.579932  0.00717282
         296       -0.44   -0.579459  0.00716415
         297     -0.5216   -0.579265  0.00714268
         298     -0.4408     -0.5788  0.00713381
         299       -0.52   -0.578603  0.00711266
         300      -0.524   -0.578421  0.00709128
         301     -0.5216   -0.578233  0.00707023
         302       -0.44   -0.577775  0.00706162
         303     -0.7552    -0.57836  0.00706255
         304     -0.6808   -0.578697  0.00704735
         305     -0.4432   -0.578253  0.00703823
         306     -0.4456    -0.57782  0.00702857
         307     -0.6072   -0.577915  0.00700633
         308     -0.4408    -0.57747  0.00699771
         309     -0.6016   -0.577548   0.0069755
         310     -0.6008   -0.577623   0.0069534
         311     -0.5992   -0.577693  0.00693139
         312     -0.5176     -0.5775  0.00691185
         313     -0.4408   -0.577063  0.00690355
         314     -0.6032   -0.577146  0.00688207
         315     -0.7616   -0.577732  0.00688508
         316     -0.7648   -0.578324   0.0068887
         317     -0.6816    -0.57865  0.00687467
         318     -0.6064   -0.578737   0.0068536
         319     -0.8464   -0.579576  0.00688329
         320     -0.6872   -0.579913  0.00686999
         321     -0.6096   -0.580005  0.00684921
         322     -0.7728   -0.580604  0.00685406
         323     -0.6104   -0.580696  0.00683346
         324      -0.608    -0.58078  0.00681289
         325     -0.3632   -0.580111  0.00682474
         326     -0.5208   -0.579929  0.00680623
         327     -0.4408   -0.579503   0.0067987
         328     -0.6792   -0.579807  0.00678477
         329     -0.5968   -0.579859  0.00676434
         330     -0.6792    -0.58016  0.00675054
         331     -0.5208   -0.579981  0.00673252
         332     -0.5168    -0.57979  0.00671494
         333     -0.5184   -0.579606   0.0066973
         334     -0.5112   -0.579401  0.00668038
         335     -0.6728    -0.57968  0.00666625
         336     -0.5928   -0.579719  0.00664653
         337     -0.5976   -0.579772  0.00662702
         338     -0.6808   -0.580071  0.00661415
         339     -0.5256    -0.57991  0.00659659
         340     -0.6864   -0.580224  0.00658462
         341     -0.6024   -0.580289  0.00656563
         342     -0.5248   -0.580126  0.00654844
         343     -0.6064   -0.580203  0.00652979
         344     -0.6824     -0.5805  0.00651756
         345      -0.684     -0.5808  0.00650557
         346      -0.684   -0.581098  0.00649361
         347     -0.7672   -0.581635    0.006497
         348      -0.684   -0.581929  0.00648499
         349        -0.6   -0.581981  0.00646661
         350      -0.516   -0.581792  0.00645088
         351     -0.5184   -0.581611  0.00643503
         352     -0.6008   -0.581666  0.00641698
         353       -0.44   -0.581265  0.00641134
         354     -0.5208   -0.581094  0.00639551
         355     -0.6032   -0.581156  0.00637779
         356     -0.7584   -0.581654  0.00637928
         357        -0.6   -0.581705  0.00636162
         358     -0.5168   -0.581524  0.00634643
