# DISTANCE:     AVE_GOFR:        ERROR:
           1           0           0           0
           3 6.0108e+162 0.000636944    0.179555
           36.07759e+162 0.000618452    0.176218
           36.14437e+162 0.000599345    0.172577
           36.21116e+162 0.000584728    0.170171
           36.27795e+162 0.000570029    0.167647
           36.34473e+162 0.000576273    0.171286
           36.41152e+162 0.000566773    0.170196
           36.47831e+162 0.000558548    0.169348
           36.54509e+162 0.000552015    0.169045
           36.61188e+162 0.000561879    0.173923
           4           0           0           0
           46.67867e+160           0           0
           41.33573e+161           0           0
           4 2.0036e+161           0           0
           42.67147e+161           0           0
           43.33933e+161           0           0
           4 4.0072e+161           0           0
           44.67507e+161           0           0
           45.34293e+161           0           0
           4 6.0108e+161           0           0
           46.67867e+161           0           0
           47.34653e+161           0           0
           4 8.0144e+161           0           0
           48.68227e+161           0           0
           49.35013e+161           0           0
           4 1.0018e+162           0           0
           41.06859e+162           0           0
           41.13537e+162           0           0
           41.20216e+162           0           0
           41.26895e+162           0           0
           41.33573e+162           0           0
           41.40252e+162           0           0
           41.46931e+162           0           0
           41.53609e+162           0           0
           41.60288e+162           0           0
           41.66967e+162           0           0
           41.73645e+162           0           0
           41.80324e+162           0           0
           41.87003e+162           0           0
           41.93681e+162           0           0
           4 2.0036e+162           0           0
           42.07039e+162           0           0
           42.13717e+162           0           0
           42.20396e+162           0           0
           42.27075e+162  3.7732e-07 4.00447e-05
           42.33753e+162 1.66477e-05  0.00170696
           42.40432e+162 0.000107459   0.0109439
           42.47111e+162  0.00034292   0.0357509
           42.53789e+162 0.000724949   0.0775132
           42.60468e+162  0.00111363    0.122024
           42.67147e+162  0.00139439    0.156398
           42.73825e+162  0.00152231    0.174771
           42.80504e+162  0.00154219    0.181106
           42.87183e+162  0.00143523    0.172433
           42.93861e+162  0.00129815    0.159306
           4 3.0054e+162  0.00117681    0.147551
           43.07219e+162  0.00107842      0.1381
           43.13897e+162 0.000935211    0.122213
           43.20576e+162 0.000844531    0.112564
           43.27255e+162 0.000748903    0.101877
           43.33933e+162  0.00068611   0.0952154
           43.40612e+162 0.000622263   0.0879287
           43.47291e+162 0.000584128   0.0840263
           43.53969e+162 0.000535897   0.0785461
           43.60648e+162 0.000482558   0.0720079
           43.67327e+162 0.000469916   0.0713589
           43.74005e+162 0.000443485   0.0685922
           43.80684e+162 0.000447382   0.0703516
           43.87363e+162 0.000426073   0.0680653
           43.94041e+162 0.000412031   0.0669553
           4 4.0072e+162 0.000404886   0.0667973
           44.07399e+162 0.000428411    0.071853
           44.14077e+162 0.000425195   0.0724095
           44.20756e+162 0.000440236   0.0761575
           44.27435e+162 0.000436921   0.0767091
           44.34113e+162 0.000449984   0.0801688
           44.40792e+162 0.000473322   0.0855677
           44.47471e+162 0.000468724   0.0859729
           44.54149e+162 0.000500046   0.0930217
           44.60828e+162 0.000526825     0.09944
           44.67507e+162 0.000541228    0.103569
           44.74185e+162 0.000574803      0.1115
           44.80864e+162 0.000612132    0.120338
           44.87543e+162 0.000645981    0.128705
           44.94221e+162 0.000668076    0.134924
           4  5.009e+162 0.000693711    0.141897
           45.07579e+162  0.00069986    0.144992
           45.14257e+162 0.000729304    0.153034
           45.20936e+162 0.000742056    0.157665
           45.27615e+162 0.000767149    0.165147
           45.34293e+162 0.000765404    0.166696
           45.40972e+162 0.000763559    0.168271
           45.47651e+162 0.000750019    0.167248
           45.54329e+162 0.000746252    0.168365
           45.61008e+162 0.000746355    0.170399
           45.67687e+162 0.000726082    0.167675
           45.74365e+162 0.000697934     0.16309
           45.81044e+162 0.000687419    0.162369
           45.87723e+162 0.000666432    0.159149
           45.94401e+162   0.0006514    0.157301
           4 6.0108e+162 0.000637432    0.155609
           46.07759e+162 0.000625418    0.154349
           46.14437e+162 0.000604554    0.150769
           46.21116e+162 0.000588745    0.148387
           46.27795e+162 0.000576122    0.146752
           46.34473e+162 0.000576192    0.148296
           46.41152e+162 0.000564523     0.14679
           46.47831e+162 0.000565771    0.148587
           46.54509e+162 0.000558054    0.148021
           46.61188e+162 0.000566974    0.151969
           5           0           0           0
           56.67867e+160           0           0
           51.33573e+161           0           0
           5 2.0036e+161           0           0
           52.67147e+161           0           0
           53.33933e+161           0           0
           5 4.0072e+161           0           0
           54.67507e+161           0           0
           55.34293e+161           0           0
           5 6.0108e+161           0           0
           56.67867e+161           0           0
           57.34653e+161           0           0
           5 8.0144e+161           0           0
           58.68227e+161           0           0
           59.35013e+161           0           0
           5 1.0018e+162           0           0
           51.06859e+162           0           0
           51.13537e+162           0           0
           51.20216e+162           0           0
           51.26895e+162           0           0
           51.33573e+162           0           0
           51.40252e+162           0           0
           51.46931e+162           0           0
           51.53609e+162           0           0
           51.60288e+162           0           0
           51.66967e+162           0           0
           51.73645e+162           0           0
           51.80324e+162           0           0
           51.87003e+162           0           0
           51.93681e+162           0           0
           5 2.0036e+162           0           0
           52.07039e+162           0           0
           52.13717e+162           0           0
           52.20396e+162           0           0
           52.27075e+162 3.01856e-07 3.20358e-05
           52.33753e+162 1.61677e-05  0.00147742
           52.40432e+162 0.000108398  0.00987033
           52.47111e+162 0.000344342   0.0321085
           52.53789e+162  0.00072711   0.0695301
           52.60468e+162  0.00111326    0.109092
           52.67147e+162  0.00138192    0.138653
           52.73825e+162  0.00152684    0.156781
           52.80504e+162  0.00154209    0.161971
           52.87183e+162  0.00144402    0.155163
           52.93861e+162  0.00130459    0.143197
           5 3.0054e+162  0.00117837    0.132139
           53.07219e+162  0.00107131    0.122702
           53.13897e+162 0.000933495    0.109099
           53.20576e+162 0.000842065    0.100383
           53.27255e+162 0.000748516   0.0910553
           53.33933e+162 0.000685547   0.0850633
           53.40612e+162 0.000618309   0.0781379
           53.47291e+162 0.000575934   0.0741271
           53.53969e+162 0.000533307   0.0699059
           53.60648e+162 0.000483249   0.0644862
           53.67327e+162 0.000473729   0.0643394
           53.74005e+162 0.000453819   0.0628157
           53.80684e+162 0.000451205   0.0634494
           53.87363e+162 0.000430335   0.0614909
           53.94041e+162 0.000413344   0.0600616
           5 4.0072e+162 0.000404202   0.0596401
           54.07399e+162  0.00042301   0.0634663
           54.14077e+162 0.000420208   0.0640162
           54.20756e+162  0.00043395   0.0671616
           54.27435e+162 0.000437269   0.0686576
           54.34113e+162 0.000450656   0.0718082
           54.40792e+162 0.000470626   0.0761002
           54.47471e+162  0.00046798    0.076772
           54.54149e+162 0.000503691    0.083816
           54.60828e+162 0.000527411   0.0890321
           54.67507e+162 0.000542725   0.0928863
           54.74185e+162 0.000573182   0.0994445
           54.80864e+162 0.000609657    0.107201
           54.87543e+162 0.000654065    0.116591
           54.94221e+162 0.000675018    0.121946
           5  5.009e+162 0.000698718    0.127839
           55.07579e+162 0.000701868    0.130054
           55.14257e+162 0.000728928    0.136798
           55.20936e+162 0.000740923    0.140797
           55.27615e+162  0.00075778    0.145925
           55.34293e+162  0.00075786    0.147644
           55.40972e+162 0.000765394    0.150862
           55.47651e+162  0.00075655    0.150912
           55.54329e+162  0.00074871    0.151087
           55.61008e+162 0.000744217    0.151966
           55.67687e+162 0.000723215    0.149379
           55.74365e+162 0.000698539    0.145979
           55.81044e+162 0.000687702    0.145282
           55.87723e+162 0.000665314    0.142108
           55.94401e+162 0.000650491    0.140493
           5 6.0108e+162 0.000636694    0.139015
           56.07759e+162 0.000628419    0.138712
           56.14437e+162 0.000608183    0.135666
           56.21116e+162 0.000588968    0.132766
           56.27795e+162 0.000576052    0.131233
           56.34473e+162 0.000574079    0.132147
           56.41152e+162 0.000564202    0.131207
           56.47831e+162 0.000565345    0.132792
           56.54509e+162 0.000558219    0.132426
           56.61188e+162 0.000565751    0.135612
           6           0           0           0
           66.67867e+160           0           0
           61.33573e+161           0           0
           6 2.0036e+161           0           0
           62.67147e+161           0           0
           63.33933e+161           0           0
           6 4.0072e+161           0           0
           64.67507e+161           0           0
           65.34293e+161           0           0
           6 6.0108e+161           0           0
           66.67867e+161           0           0
           67.34653e+161           0           0
           6 8.0144e+161           0           0
           68.68227e+161           0           0
           69.35013e+161           0           0
           6 1.0018e+162           0           0
           61.06859e+162           0           0
           61.13537e+162           0           0
           61.20216e+162           0           0
           61.26895e+162           0           0
           61.33573e+162           0           0
           61.40252e+162           0           0
           61.46931e+162           0           0
           61.53609e+162           0           0
           61.60288e+162           0           0
           61.66967e+162           0           0
           61.73645e+162           0           0
           61.80324e+162           0           0
           61.87003e+162           0           0
           61.93681e+162           0           0
           6 2.0036e+162           0           0
           62.07039e+162           0           0
           62.13717e+162           0           0
           62.20396e+162           0           0
           62.27075e+162 6.01916e-07 7.25772e-05
           62.33753e+162 1.56689e-05  0.00130562
           62.40432e+162 0.000106514  0.00885801
           62.47111e+162 0.000347776    0.029609
           62.53789e+162 0.000721932   0.0630238
           62.60468e+162   0.0011087    0.099175
           62.67147e+162  0.00138239    0.126609
           62.73825e+162  0.00152015    0.142496
           62.80504e+162  0.00154278    0.147923
           62.87183e+162  0.00145349     0.14257
           62.93861e+162  0.00132323    0.132649
           6 3.0054e+162  0.00118314    0.121112
           63.07219e+162  0.00107567    0.112459
           63.13897e+162 0.000932092   0.0994377
           63.20576e+162 0.000839981   0.0914078
           63.27255e+162 0.000748556   0.0831141
           63.33933e+162 0.000677312   0.0767312
           63.40612e+162 0.000613005   0.0707217
           63.47291e+162 0.000568021   0.0667648
           63.53969e+162 0.000531067   0.0635424
           63.60648e+162 0.000486984   0.0593232
           63.67327e+162 0.000469143   0.0581717
           63.74005e+162  0.00045137   0.0570145
           63.80684e+162 0.000449529   0.0576947
           63.87363e+162 0.000432247    0.056378
           63.94041e+162 0.000415644   0.0551267
           6 4.0072e+162 0.000408222   0.0549954
           64.07399e+162 0.000422318   0.0578313
           64.14077e+162 0.000422355   0.0587327
           64.20756e+162 0.000430914   0.0608772
           64.27435e+162 0.000435065   0.0623592
           64.34113e+162 0.000446575   0.0649692
           64.40792e+162 0.000470686   0.0694758
           64.47471e+162 0.000471306   0.0705876
           64.54149e+162 0.000506851    0.076999
           64.60828e+162 0.000530451   0.0817444
           64.67507e+162 0.000546322   0.0853604
           64.74185e+162 0.000578927   0.0917093
           64.80864e+162 0.000612337    0.098294
           64.87543e+162 0.000652078    0.106104
           64.94221e+162 0.000673271    0.111023
           6  5.009e+162 0.000696853    0.116385
           65.07579e+162 0.000705996    0.119427
           65.14257e+162 0.000728988    0.124884
           65.20936e+162 0.000739112    0.128212
           65.27615e+162 0.000756295    0.132925
           65.34293e+162  0.00075514    0.134288
           65.40972e+162 0.000761747    0.137065
           65.47651e+162  0.00075611    0.137678
           65.54329e+162 0.000749646    0.138095
           65.61008e+162 0.000742023    0.138314
           65.67687e+162 0.000721401    0.136019
           65.74365e+162 0.000702437    0.134001
