#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         583        0.36     1.21949   0.0701323
         584        0.64     1.21849   0.0700192
         585        0.16     1.21668   0.0699229
         586           1     1.21631   0.0698045
         587        0.64     1.21533   0.0696925
         588        0.16     1.21354   0.0695971
         589        0.16     1.21175   0.0695019
         590        0.04     1.20976   0.0694125
         591        0.36     1.20832   0.0693099
         592        0.16     1.20655   0.0692155
         593        0.64      1.2056   0.0691054
         594        1.96     1.20687   0.0690007
         595           0     1.20484   0.0689145
         596        0.16     1.20309   0.0688212
         597        0.64     1.20214   0.0687124
         598           0     1.20013   0.0686269
         599           1      1.1998   0.0685131
         600        0.64     1.19887   0.0684053
         601           4     1.20353   0.0684501
         602        0.36     1.20213   0.0683507
         603           0     1.20013   0.0682664
         604        0.16     1.19841   0.0681751
         605        1.44     1.19881   0.0680636
         606        0.36     1.19743   0.0679653
         607        0.36     1.19605   0.0678674
         608        0.36     1.19467   0.0677697
         609        3.24     1.19803   0.0677416
         610        0.36     1.19666   0.0676444
         611        1.44     1.19705   0.0675349
         612           4     1.20163   0.0675797
         613           1     1.20131   0.0674702
         614        5.76     1.20873   0.0677676
         615        2.56     1.21093    0.067693
         616           4     1.21545   0.0677344
         617           4     1.21997   0.0677748
         618        0.16     1.21825   0.0676868
         619        0.36     1.21687   0.0675917
         620        0.64     1.21594   0.0674891
         621        3.24     1.21919   0.0674591
         622        5.76      1.2265   0.0677445
         623        1.96     1.22767    0.067646
         624        1.44     1.22801   0.0675384
         625           0     1.22605   0.0674589
         626        0.64     1.22511   0.0673576
         627        0.04     1.22322   0.0672767
         628        1.44     1.22357   0.0671705
         629        2.56     1.22569   0.0670973
         630        0.64     1.22476   0.0669972
         631        0.04     1.22288   0.0669174
         632        0.64     1.22196   0.0668178
         633        3.24     1.22515   0.0667883
         634        1.44     1.22549   0.0666838
         635        1.44     1.22583   0.0665796
         636        0.36     1.22447   0.0664889
         637           1     1.22411   0.0663854
         638        4.84     1.22978   0.0665229
         639        0.04     1.22792   0.0664448
         640        0.04     1.22606   0.0663669
         641           0     1.22415   0.0662909
         642        0.36      1.2228   0.0662013
         643           1     1.22246   0.0660993
         644        1.96      1.2236   0.0660066
         645        0.36     1.22226   0.0659178
         646        1.96     1.22341   0.0658257
         647        0.04     1.22158   0.0657493
         648        0.36     1.22025   0.0656613
         649        0.36     1.21892   0.0655735
         650        0.36      1.2176   0.0654859
         651           1     1.21727   0.0653862
         652        1.96      1.2184   0.0652958
         653        0.64     1.21752   0.0652019
         654        1.96     1.21865    0.065112
         655        0.64     1.21777   0.0650186
         656        0.04     1.21598   0.0649443
         657           0     1.21412   0.0648718
         658        5.76     1.22103   0.0651401
         659        1.96     1.22215   0.0650509
         660           4     1.22636   0.0650883
         661        3.24     1.22941   0.0650611
         662        5.76     1.23625   0.0653218
         663           4     1.24042   0.0653561
         664        1.96     1.24151   0.0652667
         665        0.36     1.24018    0.065182
         666        1.96     1.24126   0.0650931
         667        3.24     1.24426   0.0650644
         668        0.64     1.24335   0.0649733
