#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         198    -6.86251    -6.87799 0.000602348
         199      -6.862    -6.87791 0.000604653
         200    -6.86246    -6.87783 0.000606541
         201    -6.86258    -6.87775  0.00060825
         202    -6.86241    -6.87768 0.000609961
         203    -6.86188     -6.8776 0.000611903
         204    -6.86161    -6.87752 0.000613903
         205    -6.86213    -6.87745 0.000615483
         206    -6.86248    -6.87737 0.000616771
         207    -6.86193     -6.8773 0.000618286
         208    -6.86212    -6.87723 0.000619607
         209    -6.86207    -6.87715  0.00062087
         210    -6.86188    -6.87708 0.000622159
         211    -6.86196    -6.87701 0.000623323
         212    -6.86239    -6.87694 0.000624185
         213     -6.8623    -6.87687 0.000625028
         214    -6.86234     -6.8768 0.000625786
         215    -6.86254    -6.87674 0.000626382
         216    -6.86233    -6.87667 0.000627021
         217     -6.8621     -6.8766 0.000627718
         218    -6.86178    -6.87654 0.000628511
         219    -6.86146    -6.87647 0.000629401
         220    -6.86115     -6.8764 0.000630381
         221    -6.86101    -6.87633  0.00063136
         222    -6.86105    -6.87626 0.000632254
         223    -6.86086    -6.87619 0.000633181
         224    -6.86098    -6.87612 0.000633983
         225    -6.86092    -6.87605 0.000634754
         226    -6.86091    -6.87599 0.000635474
         227    -6.86063    -6.87592 0.000636265
         228    -6.86027    -6.87585 0.000637168
         229    -6.86034    -6.87578 0.000637976
         230    -6.85977    -6.87571 0.000638989
         231    -6.85918    -6.87564  0.00064022
         232    -6.85897    -6.87557 0.000641482
         233     -6.8588     -6.8755 0.000642752
         234    -6.85898    -6.87543 0.000643869
         235    -6.85962    -6.87536 0.000644633
         236    -6.85944    -6.87529 0.000645422
         237    -6.85853    -6.87522 0.000646563
         238    -6.85812    -6.87515 0.000647829
         239    -6.85755    -6.87508  0.00064929
         240    -6.85732      -6.875 0.000650787
         241    -6.85745    -6.87493 0.000652151
         242    -6.85684    -6.87485 0.000653726
         243    -6.85705    -6.87478  0.00065513
         244    -6.85665    -6.87471 0.000656648
         245     -6.8562    -6.87463 0.000658296
         246    -6.85598    -6.87456 0.000659973
         247    -6.85591    -6.87448 0.000661604
         248    -6.85583    -6.87441 0.000663196
         249    -6.85554    -6.87433 0.000664846
         250    -6.85507    -6.87425 0.000666635
         251    -6.85483    -6.87418 0.000668457
         252    -6.85499     -6.8741 0.000670125
         253     -6.8547    -6.87402 0.000671849
         254    -6.85435    -6.87394 0.000673655
         255     -6.8541    -6.87387 0.000675493
         256    -6.85375    -6.87379 0.000677409
         257    -6.85374    -6.87371 0.000679249
         258    -6.85323    -6.87363 0.000681241
         259    -6.85297    -6.87355 0.000683268
         260    -6.85324    -6.87347 0.000685093
         261    -6.85298    -6.87339 0.000686951
         262    -6.85294    -6.87332 0.000688751
         263    -6.85272    -6.87324  0.00069057
         264     -6.8525    -6.87316 0.000692409
         265    -6.85342    -6.87309 0.000693792
         266    -6.85277    -6.87301 0.000695375
         267    -6.85271    -6.87293 0.000696914
         268    -6.85267    -6.87286 0.000698402
         269    -6.85217    -6.87278 0.000700028
         270    -6.85214     -6.8727 0.000701597
         271    -6.85177    -6.87263 0.000703246
         272    -6.85158    -6.87255 0.000704905
         273    -6.85164    -6.87247 0.000706471
         274    -6.85126     -6.8724 0.000708123
         275    -6.85065    -6.87232 0.000709948
         276    -6.85067    -6.87224 0.000711693
         277    -6.85018    -6.87216 0.000713566
         278    -6.84992    -6.87208  0.00071547
         279    -6.84988      -6.872 0.000717316
         280    -6.84987    -6.87192 0.000719095
         281    -6.84996    -6.87184  0.00072077
         282    -6.84979    -6.87176 0.000722442
         283    -6.84983    -6.87169 0.000724034
         284    -6.85024    -6.87161 0.000725412
         285       -6.85    -6.87153 0.000726819
         286    -6.85033    -6.87146 0.000728049
         287    -6.85032    -6.87139 0.000729228
         288    -6.85076    -6.87131 0.000730204
         289     -6.8504    -6.87124 0.000731254
         290    -6.85005    -6.87117 0.000732376
