Block   Block_avgCumulative_avg       Error
280   -0.467491   -0.439398  0.00541825
281   -0.458204   -0.439465  0.00539942
282   -0.434027   -0.439446  0.00538034
283   -0.400419   -0.439308  0.00536312
284   -0.549998   -0.439697  0.00535836
285   -0.361322   -0.439423  0.00534662
286   -0.384313   -0.439231  0.00533142
287   -0.540159   -0.439581  0.00532442
288   -0.474369   -0.439702  0.00530733
289   -0.439562   -0.439701    0.005289
290   -0.456224   -0.439758   0.0052711
291   -0.472168   -0.439869  0.00525419
292   -0.450483   -0.439905  0.00523635
293   -0.420957   -0.439841  0.00521891
294   -0.398629   -0.439701  0.00520306
295   -0.416872   -0.439624  0.00518603
296   -0.576542   -0.440085  0.00518905
297    -0.50233   -0.440294  0.00517583
298   -0.372695   -0.440068  0.00516344
299   -0.560756    -0.44047   0.0051619
300   -0.475723   -0.440587  0.00514606
301   -0.454742   -0.440634   0.0051292
302   -0.510465   -0.440864  0.00511744
303   -0.420048   -0.440796  0.00510104
304   -0.574693   -0.441235   0.0051032
305    -0.33033   -0.440873  0.00509939
306   -0.504096   -0.441078  0.00508693
307   -0.431445   -0.441047  0.00507048
308   -0.421843   -0.440985  0.00505443
309   -0.516461   -0.441229  0.00504397
310   -0.484833   -0.441369  0.00502968
311    -0.50982   -0.441588  0.00501834
312   -0.487247   -0.441734   0.0050044
313   -0.468633    -0.44182  0.00498918
314   -0.495776   -0.441991  0.00497626
315   -0.345316   -0.441685  0.00496991
316   -0.563593    -0.44207  0.00496911
317    -0.52413   -0.442328  0.00496018
318   -0.556068   -0.442684  0.00495745
319   -0.460831   -0.442741  0.00494225
320   -0.431758   -0.442707  0.00492695
321   -0.405419   -0.442591  0.00491299
322   -0.428712   -0.442548  0.00489795
323   -0.500637   -0.442727   0.0048861
324   -0.398645   -0.442592  0.00487293
325   -0.395926   -0.442448  0.00486007
326   -0.498866   -0.442621  0.00484825
327   -0.531593   -0.442892  0.00484105
328   -0.526868   -0.443147  0.00483306
329   -0.147465   -0.442251  0.00490099
330   -0.536019   -0.442535  0.00489437
331   -0.475911   -0.442635  0.00488064
332   -0.371354   -0.442421  0.00487067
333   -0.408855   -0.442321   0.0048571
334    -0.53957   -0.442611  0.00485128
335   -0.350748   -0.442338  0.00484454
336   -0.240564   -0.441739  0.00486711
337   -0.520668   -0.441972   0.0048583
338   -0.410534    -0.44188  0.00484484
339   -0.501487   -0.442055  0.00483375
340   -0.494739   -0.442209  0.00482203
341   -0.446739   -0.442223  0.00480793
342   -0.469978   -0.442304  0.00479457
343   -0.474619   -0.442398  0.00478154
344   -0.515509   -0.442609  0.00477236
345   -0.476549   -0.442708  0.00475956
346    -0.46379   -0.442768  0.00474621
347   -0.376577   -0.442578  0.00473638
348   -0.500312   -0.442744  0.00472568
