#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         469     1.59688      1.5966 1.51125e-05
         470     1.59649      1.5966 1.50822e-05
         471     1.59698      1.5966 1.50717e-05
         472     1.59669      1.5966 1.50409e-05
         473     1.59641      1.5966 1.50143e-05
         474     1.59656      1.5966 1.49829e-05
         475     1.59646      1.5966 1.49542e-05
         476      1.5962      1.5966  1.4947e-05
         477     1.59702      1.5966 1.49413e-05
         478     1.59688      1.5966 1.49218e-05
         479     1.59631      1.5966 1.49034e-05
         480     1.59645      1.5966 1.48755e-05
         481     1.59681      1.5966  1.4851e-05
         482     1.59667      1.5966 1.48208e-05
         483     1.59647      1.5966 1.47927e-05
         484     1.59693      1.5966 1.47782e-05
         485     1.59627      1.5966 1.47636e-05
         486       1.597      1.5966 1.47561e-05
         487     1.59656      1.5966 1.47261e-05
         488     1.59723      1.5966 1.47523e-05
         489     1.59629      1.5966 1.47362e-05
         490     1.59571      1.5966  1.4819e-05
         491     1.59673      1.5966 1.47913e-05
         492     1.59657      1.5966 1.47613e-05
         493     1.59691      1.5966  1.4745e-05
         494     1.59675      1.5966 1.47182e-05
         495     1.59662      1.5966 1.46885e-05
         496     1.59619      1.5966 1.46821e-05
         497     1.59691      1.5966 1.46656e-05
         498     1.59686      1.5966 1.46452e-05
         499     1.59662      1.5966 1.46159e-05
         500     1.59638      1.5966 1.45932e-05
