#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         315        0.44    0.699175   0.0132445
         316         0.4    0.698228   0.0132364
         317         0.2    0.696656   0.0132876
         318        0.12    0.694843    0.013369
         319        0.32    0.693668   0.0133786
         320        0.24     0.69225   0.0134117
         321        0.16    0.690592   0.0134721
         322        0.28    0.689317   0.0134904
         323        0.28     0.68805   0.0135081
         324        0.24    0.686667    0.013537
         325        0.28    0.685415    0.013553
         326        0.48    0.684785   0.0135261
         327        0.52    0.684281   0.0134941
         328        0.64    0.684146   0.0134536
         329        0.72    0.684255   0.0134132
         330        0.84    0.684727   0.0133808
         331        0.92    0.685438   0.0133593
         332        0.84    0.685904   0.0133272
         333        0.84    0.686366   0.0132952
         334        0.88    0.686946    0.013268
         335        0.88    0.687522   0.0132409
         336        0.68      0.6875   0.0132015
         337        0.68    0.687478   0.0131624
         338         0.8    0.687811   0.0131276
         339        0.96    0.688614   0.0131134
         340           1    0.689529   0.0131068
         341           1     0.69044      0.0131
         342           1    0.691345   0.0130929
         343           1    0.692245   0.0130856
         344           1     0.69314   0.0130781
         345           1    0.694029   0.0130704
         346           1    0.694913   0.0130625
         347           1    0.695793   0.0130544
         348           1    0.696667   0.0130461
         349           1    0.697536   0.0130377
         350           1      0.6984    0.013029
         351           1    0.699259   0.0130202
         352           1    0.700114   0.0130112
         353           1    0.700963   0.0130021
         354           1    0.701808   0.0129928
         355           1    0.702648   0.0129833
         356           1    0.703483   0.0129737
         357        0.92     0.70409   0.0129515
         358        0.92    0.704693   0.0129293
         359        0.92    0.705292   0.0129072
         360        0.76    0.705444   0.0128723
         361        0.72    0.705485   0.0128367
         362         0.6    0.705193   0.0128045
         363        0.56    0.704793   0.0127755
         364        0.44    0.704066   0.0127611
         365        0.48    0.703452   0.0127409
         366        0.52    0.702951   0.0127159
         367        0.52    0.702452   0.0126911
         368         0.6    0.702174   0.0126596
         369         0.6    0.701897   0.0126283
         370        0.68    0.701838   0.0125943
         371        0.68    0.701779   0.0125605
         372        0.72    0.701828   0.0125269
         373         0.8    0.702091    0.012496
         374        0.88    0.702567   0.0124717
         375        0.92    0.703147   0.0124519
